Year,Month,Day,Discharge (ft3/s)
1997,10,1,4080
1997,10,2,1830
1997,10,3,1200
1997,10,4,847
1997,10,5,1520
1997,10,6,1430
1997,10,7,1010
1997,10,8,657
1997,10,9,546
1997,10,10,503
1997,10,11,447
1997,10,12,396
1997,10,13,625
1997,10,14,1160
1997,10,15,1160
1997,10,16,1120
1997,10,17,1100
1997,10,18,1080
1997,10,19,1050
1997,10,20,1040
1997,10,21,1020
1997,10,22,1010
1997,10,23,802
1997,10,24,293
1997,10,25,280
1997,10,26,269
1997,10,27,517
1997,10,28,469
1997,10,29,357
1997,10,30,313
1997,10,31,284
1997,11,1,309
1997,11,2,3180
1997,11,3,3850
1997,11,4,1910
1997,11,5,1360
1997,11,6,1100
1997,11,7,948
1997,11,8,994
1997,11,9,1340
1997,11,10,1290
1997,11,11,1080
1997,11,12,975
1997,11,13,882
1997,11,14,856
1997,11,15,969
1997,11,16,974
1997,11,17,974
1997,11,18,975
1997,11,19,950
1997,11,20,1080
1997,11,21,1180
1997,11,22,1770
1997,11,23,1860
1997,11,24,1890
1997,11,25,1500
1997,11,26,1990
1997,11,27,5650
1997,11,28,3680
1997,11,29,4000
1997,11,30,3890
1997,12,1,4360
1997,12,2,2810
1997,12,3,2020
1997,12,4,2100
1997,12,5,2150
1997,12,6,1850
1997,12,7,1600
1997,12,8,1460
1997,12,9,1350
1997,12,10,1260
1997,12,11,1220
1997,12,12,1250
1997,12,13,1190
1997,12,14,1160
1997,12,15,1010
1997,12,16,1110
1997,12,17,1090
1997,12,18,1040
1997,12,19,1020
1997,12,20,1120
1997,12,21,1160
1997,12,22,890
1997,12,23,1110
1997,12,24,1230
1997,12,25,2140
1997,12,26,3620
1997,12,27,2440
1997,12,28,1840
1997,12,29,1360
1997,12,30,1330
1997,12,31,1050
1998,1,1,800
1998,1,2,1000
1998,1,3,2020
1998,1,4,7730
1998,1,5,7180
1998,1,6,5990
1998,1,7,5100
1998,1,8,26400
1998,1,9,22000
1998,1,10,10000
1998,1,11,5670
1998,1,12,3930
1998,1,13,3300
1998,1,14,2680
1998,1,15,2180
1998,1,16,1970
1998,1,17,1820
1998,1,18,1630
1998,1,19,1470
1998,1,20,1370
1998,1,21,1220
1998,1,22,1160
1998,1,23,1120
1998,1,24,1250
1998,1,25,1200
1998,1,26,1040
1998,1,27,983
1998,1,28,1080
1998,1,29,1080
1998,1,30,1810
1998,1,31,1610
1998,2,1,1220
1998,2,2,1200
1998,2,3,1170
1998,2,4,1070
1998,2,5,961
1998,2,6,835
1998,2,7,733
1998,2,8,702
1998,2,9,675
1998,2,10,700
1998,2,11,848
1998,2,12,1200
1998,2,13,1530
1998,2,14,950
1998,2,15,710
1998,2,16,700
1998,2,17,1150
1998,2,18,3700
1998,2,19,5090
1998,2,20,3820
1998,2,21,2910
1998,2,22,2230
1998,2,23,1950
1998,2,24,1870
1998,2,25,1760
1998,2,26,1930
1998,2,27,2100
1998,2,28,3270
1998,3,1,8950
1998,3,2,4850
1998,3,3,3360
1998,3,4,2560
1998,3,5,2210
1998,3,6,1970
1998,3,7,1730
1998,3,8,1640
1998,3,9,2520
1998,3,10,3560
1998,3,11,2390
1998,3,12,1740
1998,3,13,1550
1998,3,14,1500
1998,3,15,1430
1998,3,16,1260
1998,3,17,1150
1998,3,18,1570
1998,3,19,3240
1998,3,20,4250
1998,3,21,3410
1998,3,22,2770
1998,3,23,2280
1998,3,24,1970
1998,3,25,1960
1998,3,26,4930
1998,3,27,6910
1998,3,28,3560
1998,3,29,3420
1998,3,30,2580
1998,3,31,2030
1998,4,1,1780
1998,4,2,2110
1998,4,3,2030
1998,4,4,1760
1998,4,5,1560
1998,4,6,1360
1998,4,7,1210
1998,4,8,1100
1998,4,9,1670
1998,4,10,6780
1998,4,11,3190
1998,4,12,2270
1998,4,13,1850
1998,4,14,1610
1998,4,15,1740
1998,4,16,1710
1998,4,17,1560
1998,4,18,1360
1998,4,19,1280
1998,4,20,10900
1998,4,21,6370
1998,4,22,3560
1998,4,23,2640
1998,4,24,2180
1998,4,25,1790
1998,4,26,1570
1998,4,27,2540
1998,4,28,1840
1998,4,29,1470
1998,4,30,1330
1998,5,1,1280
1998,5,2,1240
1998,5,3,1950
