"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-01","0.00","0.0","0.0",,"49","39",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-02","0.01","0.0","0.0",,"54","34",,,,,,,,,,,,,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-03","0.00","0.0","0.0",,"66","52",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-04","0.29","0.0","0.0",,"75","54","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-05","0.00","0.0","0.0",,"72","60","    1","    1",,,,,,"    1",,,"    1",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-06","0.00","0.0","0.0",,"74","58","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-07","0.09","0.0","0.0",,"74","56","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-08","0.00","0.0","0.0",,"78","57","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-09","0.05","0.0","0.0",,"79","60","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-10","0.00","0.0","0.0",,"66","49","    1",,,,,,,,,,"    1",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-11","0.00","0.0","0.0",,"60","42",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-12","0.00","0.0","0.0",,"72","44",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-13","0.00","0.0","0.0",,"79","55",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-14","0.03","0.0","0.0",,"66","45","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-15","0.00","0.0","0.0",,"56","40",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-16","0.00","0.0","0.0",,"53","35",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-17","0.00","0.0","0.0",,"53","35",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-18","0.00","0.0","0.0",,"56","32",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-19","0.00","0.0","0.0",,"58","34",,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-20","0.06","0.0","0.0",,"54","38","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-21","0.70","0.0","0.0",,"47","36","    1",,"    1",,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-22","0.01","0.2","0.0",,"39","32","    1",,,,,,,,,,"    1",,,,,"    1",,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-23","0.00","0.0","0.0",,"44","33",,,,,,,,,,,,,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-24","0.11","0.0","0.0",,"44","39","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-25","0.00","0.0","0.0",,"45","32","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-26","0.51","0.0","0.0",,"43","28","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-27","0.41","0.0","0.0",,"52","36","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-28","0.00","0.0","0.0",,"44","35",,,,,,,,,,,,,,,,"    1",,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-29","0.02","0.0","0.0",,"50","39","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","1997-10-30","0.00","0.0","0.0",,"53","36","    1",,,,,,,,,,"    1",,,,,,,,
