Site_Num,STAID,STANAME,Q_Avg,Q100,Q710,record_length,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,LAT_CENT,DRAIN_SQKM,LAT_GAGE,PPTAVG_BASIN,PPTAVG_SITE,T_AVG_BASIN,T_AVG_SITE,T_MAX_BASIN,T_MAX_SITE,RH_BASIN,RH_SITE,FST32F_BASIN,LST32F_BASIN,FST32SITE,LST32SITE,WD_BASIN,WD_SITE,WDMAX_BASIN,WDMIN_BASIN,WDMAX_SITE,WDMIN_SITE,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,FLOWYRS_1900_2009,FLOWYRS_1950_2009,STREAMS_KM_SQ_KM,MAINSTEM_SINUOUSITY,BFI_AVE,PERDUN,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,FRESHW_WITHDRAWAL,FRAGUN_BASIN,FORESTNLCD06,DECIDNLCD06,PDEN_2000_BLOCK,NUTR_ECO_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_PCT_100M,PNV_BAS_DOM,PNV_BAS_PCT,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MEDIAN_M_BASIN,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES
1,1200000,"TENMILE RIVER NEAR GAYLORDSVILLE, CT",318.9491297,15509.6,11.30739513,85,17,1.01,41.802384,532.6,41.658983,118.54,123.27,8.5,8.9,14.62,15.5,66,65,272.1,132.7,279,130,115.2,116,10.9,8.2,11,8,621.8,26,0.066,9.14,7.14,9.45,9.84,11.23,10.44,11.49,11.12,10.76,9.75,9.63,9.18,7.71,13.7,18.49,21.12,20.19,15.97,10.02,73,54,0.76,1.6,51.5,2.7,11.13,50.8,663.4,25.5,20.9,55.1,108.2,78.3,48.9,30.9,22.8,22.6,30.4,47.6,41.4,532.8,28.6,53.3,55.3,48.06,40.54,8,5.3,58,82.8,47.9,49,59.9,0.12,3.63,1.47,1.58,4.85,48.04,74.81,42.81,69.13,8.42,54.03,37.55,0.24,128.59,247.4,563,247,0.33,0.329,10,209.6
2,1300000,BLIND BROOK AT RYE NY,15.73148403,2713.1,0.529058364,47,19,1.56,41.031452,24.1,40.983709,127.39,125.61,10.91,11.1,16,16.3,69.9,69,295.8,109.3,297,107,106.9,106,10,7,10,7,710.3,18.9,0.018,10.92,7.78,11.31,11.15,11.77,10.14,10.35,10.64,12.05,10.42,10.88,9.96,9.75,15.34,20.37,23.34,22.44,18.43,12.49,45,40,0.95,1.18,47.2,4,11.36,59.5,540.5,47.1,48.5,85.1,84.4,59.7,35.2,21.9,14.2,16.4,23.2,44.1,57.2,536.9,155.4,86.7,24.98,18.51,614.37,14,8.1,59,100,86.8,49,100,0.13,2.82,1.39,3.55,2.93,51.9,79.73,40.02,74.16,6.9,47.06,46.04,0.22,164.93,72.6,149,73,0.473,0.476,3.5,148.8
3,1300500,BEAVER SWAMP BROOK AT MAMARONECK NY,6.511591725,264.2,0.071652251,46,18,2.26,40.981755,11.7,40.955932,125.38,124.76,11.19,11.3,16.33,16.3,69.3,69,296.5,107.8,297,107,105.3,105,10,7,10,7,721.4,17.8,0.023,10.52,7.76,11.05,10.99,11.66,9.96,10.57,10.66,11.58,10.05,10.73,9.8,10.09,15.62,20.71,23.64,22.82,18.9,12.95,45,40,0.49,1.25,46.4,4,12.69,68.1,537,46.5,49.6,81.7,77.3,54.5,31.9,20.2,13.8,14.4,20.6,40.4,53.9,504.9,161,95.8,12.63,8.8,1121.77,14,8.1,59,100,99.5,49,83.3,0.13,3.29,1.41,0.86,4.58,28.73,79.37,41.06,74.49,7.73,47.38,44.89,0.23,165.2,28.9,67,26,0.364,0.317,3,161.4
4,1301500,HUTCHINSON RIVER AT PELHAM NY,7.315443591,619.6,0.072092401,51,20,1.46,40.946554,14.5,40.91121,125.15,124.13,11.27,11.4,16.44,16.4,68.2,68,295.7,107.6,300,105,104,106,10,6.5,10,7,723,18,0.027,10.35,7.83,10.94,10.92,11.68,9.91,10.85,10.8,11.42,9.87,10.72,9.8,10.18,15.77,20.82,23.75,22.87,18.92,13.02,46,41,0.69,1.13,43.9,4,12.27,150.3,537,45.4,48.4,81,76.2,53.6,31.6,20,13.5,14.6,20.6,40.1,53,497.9,161,97.7,4.84,3.27,2059.15,14,8.1,59,100,95.2,49,100,0.13,1.86,1.4,0.95,2.26,25.52,80.18,41.37,75.07,7.52,47.62,44.86,0.24,165.73,49.9,91,52,0.522,0.547,2.9,152.7
5,1302500,GLEN COVE CREEK AT GLEN COVE NY,7.372449707,853.3,2.968933699,68,18,1.58,40.831563,30.3,40.863433,124.91,124.31,11.53,11.6,16.01,15.9,69.3,69,308.6,102.6,308,103,103.5,104,10,6.3,10,7,729.3,17,0.021,10.62,8.07,11.32,11.16,11.6,9.71,11.08,10.24,10.76,9.53,10.66,10.13,9.98,15.48,20.6,23.5,22.85,19.04,13.13,65,54,0.24,1.2,55.2,5,13.04,150.7,383.6,50,54.3,80,75,53,32,20,13.9,13,18,35.7,52.8,497.5,234.6,92.4,24.36,14.65,849.42,14,8.5,84,100,61.9,49,99.8,0.07,4.11,1.65,0.33,3.18,51.67,78.97,42.01,74.32,8.12,48.38,43.49,0.29,163.47,47.7,111,46,0.397,0.381,2.4,307.9
6,1303000,MILL NECK CREEK AT MILL NECK NY,9.034909838,183.6,4.663891097,74,16,1.94,40.854074,27.4,40.887599,124.62,124.41,11.46,11.4,15.9,15.8,69,69,306.4,103.5,305,104,103.7,104,10,6.7,10,7,726.7,17,0.021,10.48,7.97,11.23,11.07,11.65,9.67,11,10.4,10.76,9.52,10.71,10.12,9.84,15.3,20.44,23.33,22.67,18.84,12.93,66,54,0.14,1.17,57.7,5,13.02,140,385.4,50,53.8,79.8,74.8,52.8,32,19.8,13.3,12.8,18,35.8,53.5,496.3,234.6,78.4,45.57,26.5,328.76,14,8.5,84,99.8,98.4,49,98.3,0.07,5.25,1.62,0.39,3.69,55.53,78.5,39.49,73.91,7.68,45.63,46.7,0.29,162.82,45.6,92,47,0.495,0.511,2.8,298.9
7,1304000,NISSEQUOGUE RIVER NEAR SMITHTOWN NY,43.45553215,553.8,24.79693697,74,16,1.56,40.838257,57.9,40.849542,122.35,122.14,10.98,11,15.79,15.9,68.1,68,298.9,110.4,299,110,102.4,102,9,7,9,7,703.4,19.6,0.011,10.43,8.3,11.12,10.88,10.72,9.75,9.49,10.89,9.63,9.75,10.8,10.55,9.39,14.91,20,23.03,22.42,18.64,12.77,66,60,0.2,1.3,86,5.3,13.6,104.2,372.8,60.7,61.5,95.4,92.8,65,39.9,23,16.4,14.5,23.2,42.9,66,601.1,39.8,94.5,8.09,5.78,959.63,14,8.5,84,100,69.3,49,85.3,0.08,10.51,1.48,0.63,3.57,32.16,76.24,27.06,71.34,5.32,32.65,62.03,0.28,164.69,29.2,69,29,0.388,0.385,1.8,77.7
8,1304500,PECONIC RIVER AT RIVERHEAD NY,36.74622352,221.3,10.44806472,75,17,2.02,40.899678,192.4,40.91371,120.69,119.35,11.07,11.1,15.96,15.9,68,68,298.6,108.5,300,106,105.3,107,10,7.6,10,8,702.2,19,0.027,10.98,8.65,10.87,10.78,9.95,9.7,8.67,10.43,9.45,9.9,10.81,10.51,9.23,14.85,19.95,22.98,22.38,18.64,12.87,65,58,0.19,1.36,82.5,4.5,13.29,47.5,228.8,55.7,57.8,87,81.6,54.4,34,20.2,14.9,12.1,17.9,34.6,57.2,527.4,39.8,57.8,50.76,19.27,139.16,14,8.5,84,100,99.5,54,62,0.06,14.42,1.45,0.62,5.65,57.86,77.18,19.22,72.8,4.04,22.59,73.37,0.22,167.87,23.3,85,21,0.257,0.229,1.1,133.3
9,1305000,CARMANS RIVER AT YAPHANK NY,24.26874069,174.3,12.04056932,75,14,1.45,40.890754,190.2,40.830376,122.01,124.15,11.05,10.9,15.87,15.9,68,68,296.4,112.7,295,112,102.5,104,9.7,7,10,7,704.2,19,0.013,10.53,8.41,10.98,10.95,10.24,9.93,9.09,10.83,9.54,10.07,10.78,10.64,9.26,14.77,19.86,22.91,22.29,18.54,12.74,67,60,0.04,1.36,84.8,4.7,13.11,57.4,231.4,57.5,59.1,90.8,86.6,59.6,36.8,21.7,15.3,12.8,21,38.1,60.9,560.2,39.8,77.5,27.65,15.25,831.85,14,8.5,84,100,98,49,67.6,0.06,13.49,1.46,0.5,5.42,54.12,74.15,20.57,69.51,4.39,24.93,70.68,0.24,167.06,36.1,96,36,0.342,0.341,1.1,142.3
10,1305500,SWAN RIVER AT EAST PATCHOGUE NY,12.33891155,75.9,6.699304723,71,15,1.75,40.814072,21.3,40.767043,124.99,125.48,10.9,10.9,15.86,16,67.1,67,291.5,115.2,292,115,104.3,104,10,7,10,7,697.2,19.8,0.02,10.84,8.9,11.18,11.06,10.3,10.35,8.93,11.27,9.48,10.24,11.27,11.16,9.29,14.8,19.91,23,22.43,18.61,12.78,63,60,0.18,1.05,87,4.1,12.82,51.7,228,55.3,58.2,90.2,85.8,59,37,22.2,16.8,13.2,22.2,38,59.2,557.1,39.8,87.9,18.33,8.68,903.53,14,8.5,84,100,100,54,83.2,0.08,11.76,1.46,0.56,5.47,54.39,76.08,23.5,71.5,4.83,27.97,67.2,0.27,175.22,25.9,62,25,0.408,0.393,0.7,181.9
